Company_Brand,Sector,Stage,Funding_Year,Amount($),HeadQuarter,What_it_does,Year_Founded,Founders,Investor
Furlenco,Consumer Goods,Unknown,2021,100000000.0,Bangalore,Furlenco is a different furniture company.,2012,Ajith Mohan Karimpana,Zinnia Global
Skylark Drones,Aviation,Pre-series A,2021,3000000.0,Bangalore,"Enterprise drone solutions that help plan, build, and sustain the world we live in.",2014,Mughilan Thiru Ramasamy,"InfoEdge Ventures, IAN Fund"
Leegality,IT company,Pre-series A,2021,0.0,Gurugram,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016",2016,Shivam Singla,"IIFL, Mumbai Angels"
Arcatron Mobility,Healthcare,Unknown,2021,0.0,Pune,Mission is to advance global standards of assisted living and make it dignified and safer.,2015,Ganesh Sonawane,Klub
TWID,FinTech,Unknown,2021,2500000.0,Bangalore,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions",2020,"Amit Sharma, Amit Koshal, Rishi Batra","BEENEXT, Sequoia’s Surge"
PeakPerformer,EdTech,Early seed,2021,0.0,Bangalore,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.",2020,"Aishwarya Goel, Gaurav Jhunjhnuwala",Antler India
MyMobiForce,Internet,Pre-series A,2021,1400000.0,Noida,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India",2018,"Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",Bharat Inclusion
Pine Labs,Information Technology,Unknown,2021,600000.0,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,1998,Amrish Rau,"Fidelity, BlackRock"
Genworks Health,Healthcare,Unknown,2021,2000000.0,Bangalore,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,2015,S Ganeshprasad,Blacksoil
Pocketly,FinTech,Unknown,2021,0.0,Bangalore,"Pocketly provides quick cash on hand, anytime - anywhere!",2019,"Aarav Bhatia, Navdeesh Ahuja",
Neverinstall,Information Technology,Seed,2021,370000.0,Bangalore,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,2019,"Lakshmana Pasala, Ram Pasala",Speciale Invest
CoRover,Information Technology,Unknown,2021,0.0,Bangalore,CoRover is the world’s first and the highest ROI delivering human-centric conversational AI platform.,2016,"Ankush Sabharwal, Manav Gandotra, Kunal Bhakhri",Canbank Venture Capital Fund
BeatO,Healthcare,Pre-series B,2021,5000000.0,New Delhi,ULTIMATE app to manage chronic conditions.,2015,Gautam Chopra,W Health Ventures
Earth Rhythm,Cosmetics,Seed,2021,1200000.0,Gurugram,A mission to make customers healthier and Earth a little greener.,2020,Harini Sivakumar,Anicut Angel Fund
Fountain9,Computer software,Seed,2021,1900000.0,Mumbai,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.",2019,"Niki Khokale, Rajas Lonkar","021 Capital, Y Combinator"
Rockclimber,Food & Beverages,Unknown,2021,1000000.0,Bangalore,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,2019,"Deepak Poduval, Hariprasad Shetty",Anand Prakash Sharma
SpEd@home,EdTech,Unknown,2021,300000.0,Mumbai,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",2020,Dhaval Mody,
CanPe,Computer software,Seed,2021,0.0,Bangalore,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",2019,Arindam Choudhury,Axilor Ventures
Green Soul,Consumer Goods,Unknown,2021,200000.0,Ambernath,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,2016,Ravi Khushwani,velocity.in
Shiprocket,Logistics,Series D1,2021,41000000.0,New Delhi,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,2012,"Saahil Goel, Akshay Ghulati","March Capital, Tribe Capital"
DealShare,Retail,Unknown,2021,144000000.0,Bangalore,The next generation disruptive (social) e-commerce product for the masses.,2018,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global
Teachmint,EdTech,Pre-series B,2021,20000000.0,Bangalore,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,2020,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital
Vahak,Transportation,Pre-series A,2021,5000000.0,Bangalore,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,2017,"Vikas Chandrawat, Karan Shaha",RTP Global
goSTOPS,Hospitality,Pre-series A,2021,1000000.0,New Delhi,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,2014,"Pallavi Agarwal, Pankaj Parwanda","IAN, Yuj Ventures"
Codedamn,Computer software,Pre-seed,2021,0.0,New Delhi,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,2020,Mehul Mohan,Antler India
Biocraft Innovation Technology,Environmental service,Pre-seed,2021,0.0,Noida,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,2019,"Vibha Mittal, Anubhav Mittal",JITO Angel Network
Powerplay,Construction,Unknown,2021,5200000.0,Bangalore,Powerplay helps simplify end to end Construction and Architecture project management.,2020,"Shubham Goyal, Lesh Dixit","Sequoia’s Surge, Accel Partners"
Accio Robotics,Industrial Automation,Unknown,2021,0.0,Bangalore,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,2020,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi
Delhivery,Logistics,Series H,2021,270000000.0,Gurugram,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.",2011,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC"
Avishkaar,EdTech,Pre-series A,2021,600000.0,New Delhi,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,2014,"Rajeev Gaba, Tarun Bhalla",Auxano
Jobsgaar,Job discovery platform,Seed,2021,140000.0,New Delhi,India's first District level/ Hyper Local Job discovery platform,2020,Atul Pratap Singh,SucSEED Indovation Fund
Almo,D2C Fashion,Seed,2021,0.0,Gurugram,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,2020,Abhishek Shah,Angelist India
Breathe Well-being,HealthCare,Pre-series A,2021,1000000.0,New Delhi,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,2015,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal"
GalaxEye,SpaceTech,Pre-seed,2021,0.0,Chennai,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,2020,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Satyanarayanan Chakravarthy, Suyash Singh",Speciale Invest
Good Health Clinic,HealthCare,Unknown,2021,5000000.0,Hyderabad,Full Stack Digital Health Clinic,2021,Samarth Sindhi,Khosla Ventures
Urban Company,Home services,Series F,2021,250000000.0,New Delhi,Urban Company is an India-based company providing a marketplace for freelance labor.,2014,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Vy Capital, Wellington Management"
MYBYK,Rental,Pre-series A,2021,1000000.0,Ahmadabad,MYBYK is an app that provides premium bicycle sharing and rental service.,2014,Arjit Soni,Avon Cycles
Locus,Logistics,Series C,2021,50000000.0,Bangalore,Locus is an intelligent decision-making and automation platform for logistics.,2015,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners"
Crejo.Fun,EdTech,Seed,2021,3000000.0,Bangalore,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,2020,Vikas Bansal,"Matrix Partners India, 021 Capital"
Bambinos,EdTech,Seed,2021,500000.0,Bangalore,Cohort based extracurricular course for kids,2020,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels"
KreditBee,FinTech,Unknown,2021,8000000.0,Bangalore,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,2018,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","NewQuest Capital Partners, Motilal Oswal Private Equity"
Spardha,EdTech,Pre-series A1,2021,400000.0,Pune,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.",2016,"Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures
Onelife Nutriscience,HealthCare,Unknown,2021,0.0,Mumbai,Onelife Nutriscience is a consumer healthcare brands company.,2019,Gaurav Aggarwal,Lasons India
Flatheads,Fashion,Unknown,2021,0.0,Bangalore,Flatheads is a lifestyle brand that designs and creates shoes from India for the world. Flatheads launched India's first bamboo footwear.,2019,"Ganesh Balakrishnan, Utkarsh Biradar","Pankaj Chaddah, Srivatsan Rajan"
Fable Fintech,FinTech,Series A,2021,0.0,Mumbai,"Fable Fintech is being seed-funded by the CCAvenue Group, South East Asia’s number 1 eCommerce service provider",2015,Naushad Contractor,Paytm
Holisol,Logistics,Unknown,2021,3000000.0,New Delhi,HoliSol Logistics Is a Supply Chain Operations Company!,2009,"Manish Ahuja, Naveen Rawat, Rahul Dogar","BlackSoil, CLSA Capital Partners"
Now&Me,HealthCare,Unknown,2021,1000000.0,New Delhi,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.",2018,"Bani Singh, Drishti Gupta","Saama, Whiteboard Capital"
Fyllo,AgriTech,Seed,2021,400000.0,Bangalore,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,2019,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels"
Cora Health,HealthCare,Unknown,2021,0.0,Bangalore,Social Commerce Marketplace for health and wellness. Help people discover products suited to their health needs.,2020,"Shrijit Venkatesh, Snigdha Kumar",
Blaer Motors,Mobility,Unknown,2021,300000.0,Chennai,Meant to augment human power and not completely replace it,2014,Abinesh Ekambaram,The Chennai Angels
Swiflearn,EdTech,Pre-series A,2021,3000000.0,Gurugram,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,2019,"Abhinav Agarwal, Anand Bakode","Venture Highway, Stellaris Venture Partners"
Cashfree,FinTech,Unknown,2021,0.0,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2015,"Akash Sinha, Reeju Datta","State Bank of India, Y Combinator"
QuickSell,E-commerce,Pre-series A,2021,2000000.0,Mumbai,B2B Mobile Commerce Platform,2017,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain"
